"PROBEID","SYMBOL","GENENAME","UNIPROT"
"17806-6","SDCBP","syndecan binding protein","B2R5Q7"
"17808-37","NIT2","nitrilase family member 2","B2R9A3"
"17811-78","SULT1C2","sulfotransferase family 1C member 2","B2R813"
"17812-2","PTP4A1","protein tyrosine phosphatase 4A1","B2R6C8"
"17813-21","BPHL","biphenyl hydrolase like","Q00306"
"17814-8","BPNT1","3'(2'), 5'-bisphosphate nucleotidase 1","B7Z9J7"
"17816-58","NCALD","neurocalcin delta","B2RB70"
"17817-22","DDIT4","DNA damage inducible transcript 4","Q9H0S3"
"17818-22","SUGT1","SGT1 homolog, MIS12 kinetochore complex assembly cochaperone","A2A303"
"17819-30","FAHD1","fumarylacetoacetate hydrolase domain containing 1","Q6P587"
"17820-170","MLF1","myeloid leukemia factor 1","A0A140VKD2"
"17821-20","NMT2","N-myristoyltransferase 2","B3KT39"
"17822-57","RERG","RAS like estrogen regulated growth inhibitor","Q96A58"
"17823-40","SNRPD2","small nuclear ribonucleoprotein D2 polypeptide","K7ERG4"
"17826-341","EEF1D","eukaryotic translation elongation factor 1 delta","B2RAR6"
"17827-53","DYNLRB2","dynein light chain roadblock-type 2","H3BQI1"
"17828-3","S100A14","S100 calcium binding protein A14","Q5RHT0"
"17829-2","TREX2","three prime repair exonuclease 2","Q06S70"
"17832-12","IDI2","isopentenyl-diphosphate delta isomerase 2","Q9BXS1"
"17835-28","ANXA13","annexin A13","A8K2L6"
"17836-17","S100A16","S100 calcium binding protein A16","A8K439"
"17837-5","CLIC2","chloride intracellular channel 2","A8K9S0"
"17843-30","PPCS","phosphopantothenoylcysteine synthetase","Q9HAB8"
"17849-6","DRG1","developmentally regulated GTP binding protein 1","B2RDS8"
"17850-42","KLF4","KLF transcription factor 4","B2R8S4"
"17852-5","PPME1","protein phosphatase methylesterase 1","Q9Y570"
"17854-33","NAA10","N-alpha-acetyltransferase 10, NatA catalytic subunit","P41227"
"17855-28","RGS4","regulator of G protein signaling 4","P49798"
"17856-23","NT5M","5',3'-nucleotidase, mitochondrial","Q9NPB1"
"17857-6","ACADL","acyl-CoA dehydrogenase long chain","B2R8T3"
"18156-7","ATG3","autophagy related 3","Q9NT62"
"18158-45","CASP8","caspase 8","B5BU46"
"18160-2","PCMT1","protein-L-isoaspartate (D-aspartate) O-methyltransferase","H7BY58"
"18162-167","IRAK4","interleukin 1 receptor associated kinase 4","B2RAP9"
"18165-181","UBE2V2","ubiquitin conjugating enzyme E2 V2","A0M8W4"
"18166-4","RHOB","ras homolog family member B","B2R692"
"18170-46","PYCR1","pyrroline-5-carboxylate reductase 1","E2QRB3"
"18171-25","CXCL11","C-X-C motif chemokine ligand 11","O14625"
"18172-71","ASF1A","anti-silencing function 1A histone chaperone","Q6IA08"
"18173-11","AKR7A3","aldo-keto reductase family 7 member A3","A0A384MDN8"
"18174-79","PDCD6IP","programmed cell death 6 interacting protein","Q4W4Y1"
"18175-65","VAT1","vesicle amine transport 1","A8K345"
"18177-49","NAE1","NEDD8 activating enzyme E1 subunit 1","Q13564"
"18178-13","SARS1","seryl-tRNA synthetase 1","Q0VGA5"
"18179-56","SMS","spermine synthase","B4DE40"
"18180-58","RTN4IP1","reticulon 4 interacting protein 1","B2R9Y1"
"18181-2","TSSC4","tumor suppressing subtransferable candidate 4","C9JS66"
"18182-24","PCK1","phosphoenolpyruvate carboxykinase 1","A8K437"
"18183-3","LDLRAP1","low density lipoprotein receptor adaptor protein 1","A2BHI5"
"18184-28","GMPS","guanine monophosphate synthase","A0A140VJK6"
"18185-118","ALDOB","aldolase, fructose-bisphosphate B","A8K430"
"18186-15","TARS1","threonyl-tRNA synthetase 1","A8K8I1"
"18187-16","ASPA","aspartoacylase","P45381"
"18188-12","GATM","glycine amidinotransferase","A0A140VK19"
"18189-12","VPS25","vacuolar protein sorting 25 homolog","B2R581"
"18190-15","CARD18","caspase recruitment domain family member 18","A2RRF8"
"18191-23","RANBP1","RAN binding protein 1","F6WQW2"
"18192-69","LOC100533997","MAGEA10-MAGEA5 readthrough","P43359"
"18193-165","MORF4L1","mortality factor 4 like 1","Q0VAE4"
"18194-18","FABP9","fatty acid binding protein 9","Q0Z7S8"
"18195-3","LTO1","LTO1 maturation factor of ABCE1","B2R4R2"
"18196-8","AFM","afamin","A8K3E1"
"18197-97","CKMT2","creatine kinase, mitochondrial 2","B2R8A3"
"18198-51","HBQ1","hemoglobin subunit theta 1","A0A1K0GUV5"
"18202-22","CD37","CD37 molecule","P11049"
"18203-9","CRYGC","crystallin gamma C","A0A0X8GLL6"
"18204-1","TCEA1","transcription elongation factor A1","A0A384MTX4"
"18205-123","MAGEA6","MAGE family member A6","A8IF93"
"18206-18","ADH6","alcohol dehydrogenase 6 (class V)","A0A0A0MS56"
"18207-6","CHMP1B","charged multivesicular body protein 1B","B2RA72"
"18208-3","CCNB2","cyclin B2","B3KM93"
"18210-12","SPIN1","spindlin 1","A8K0X6"
"18212-43","GSTM5","glutathione S-transferase mu 5","A0A3B3IRM5"
"18213-30","UBE2F","ubiquitin conjugating enzyme E2 F (putative)","A8K1Z8"
"18214-2","GCLM","glutamate-cysteine ligase modifier subunit","A8K334"
"18215-5","THG1L","tRNA-histidine guanylyltransferase 1 like","B4E366"
"18216-22","IL11RA","interleukin 11 receptor subunit alpha","A0A8J9AZZ3"
"18218-48","CNRIP1","cannabinoid receptor interacting protein 1","B8ZZB8"
"18220-141","SRA1","steroid receptor RNA activator 1","B3KNT3"
"18222-34","SH3GLB2","SH3 domain containing GRB2 like, endophilin B2","Q9NR46"
"18224-11","CHMP1A","charged multivesicular body protein 1A","A0A6Q8PFF8"
"18225-13","HEBP1","heme binding protein 1","A8K1G2"
"18226-148","COX5A","cytochrome c oxidase subunit 5A","P20674"
"18227-3","CDK2AP2","cyclin dependent kinase 2 associated protein 2","E9PKR4"
"18228-30","NOP16","NOP16 nucleolar protein","Q9Y3C1"
"18231-147","PRND","prion like protein doppel","A7U7M2"
"18232-42","PIP4K2B","phosphatidylinositol-5-phosphate 4-kinase type 2 beta","P78356"
"18233-10","GOT2","glutamic-oxaloacetic transaminase 2","A8K482"
"18235-16","PGP","phosphoglycolate phosphatase","A6NDG6"
"18236-3","LGALSL","galectin like","B2RBG8"
"18237-29","NRIP3","nuclear receptor interacting protein 3","A0A8Q3WME3"
"18240-6","OMP","olfactory marker protein","P47874"
"18241-18","CPOX","coproporphyrinogen oxidase","A8K275"
"18242-8","SPA17","sperm autoantigenic protein 17","A0A172Q397"
"18243-9","CMPK1","cytidine/uridine monophosphate kinase 1","A0A494BXC7"
"18244-1","ANXA7","annexin A7","B2R7L2"
"18253-8","SSBP1","single stranded DNA binding protein 1","A4D1U3"
"18255-6","CYB5R1","cytochrome b5 reductase 1","A0PK21"
"18257-64","SRP19","signal recognition particle 19","A0A087WWU9"
"18259-15","MEOX2","mesenchyme homeobox 2","A4D127"
"18261-34","NATD1","N-acetyltransferase domain containing 1","A8MWQ7"
"18264-12","CCDC25","coiled-coil domain containing 25","G3V121"
"18265-18","ZNF34","zinc finger protein 34","A0A0C4DG42"
"18267-74","CARD17P","caspase recruitment domain family member 17, pseudogene",NA
"18268-5","GAGE2A","G antigen 2A","B7ZVY3"
"18270-10","TAF10","TATA-box binding protein associated factor 10","O00703"
"18271-43","OXSM","3-oxoacyl-ACP synthase, mitochondrial","Q9NWU1"
"18273-14","GAGE8","G antigen 8","A6NG46"
"18274-2","SERF2","small EDRK-rich factor 2","A6NL45"
"18275-5","CRIP1","cysteine rich protein 1","H3BPI2"
"18276-34","TCL1B","TCL1 family AKT coactivator B","A6NEK7"
"18277-28","TRIAP1","TP53 regulated inhibitor of apoptosis 1","B2R4Z7"
"18280-29","DTD2","D-aminoacyl-tRNA deacylase 2","D3DS87"
"18282-1","GNG11","G protein subunit gamma 11","P50152"
"18284-77","WWC1","WW and C2 domain containing 1","H3BLZ3"
"18285-6","SVIP","small VCP interacting protein","Q8NHG7"
"18286-3","ZWINT","ZW10 interacting kinetochore protein","B4DP12"
"18289-16","CCL15","C-C motif chemokine ligand 15","A0A0B4J2E2"
"18290-6","ANXA8","annexin A8","A6NDE6"
"18291-8","CDKN1A","cyclin dependent kinase inhibitor 1A","P38936"
"18294-26","SOX2","SRY-box transcription factor 2","A0A0U3FYV6"
"18295-102","GRHPR","glyoxylate and hydroxypyruvate reductase","A0A384N605"
"18297-8","MRAS","muscle RAS oncogene homolog","B4DIK0"
"18299-13","CAPNS1","calpain small subunit 1","A8K0P1"
"18300-39","PURB","purine rich element binding protein B","A4D2L7"
"18301-10","NAIF1","nuclear apoptosis inducing factor 1","B3KV81"
"18302-204","ZWILCH","zwilch kinetochore protein","A8K4T3"
"18303-39","NRGN","neurogranin","Q92686"
"18304-19","BCCIP","BRCA2 and CDKN1A interacting protein","B4DUS0"
"18306-1","PALM","paralemmin","B2RCL4"
"18307-71","PPA2","inorganic pyrophosphatase 2","A8K0P2"
"18308-30","STXBP6","syntaxin binding protein 6","D3DS78"
"18309-18","CS","citrate synthase","B4DJV2"
"18310-26","SELENOW","selenoprotein W","A8MRR7"
"18311-44","DCTN6","dynactin subunit 6","B2RAC1"
"18312-68","NDRG3","NDRG family member 3","Q9UGV2"
"18313-4","ASRGL1","asparaginase and isoaspartyl peptidase 1","A0A024R573"
"18314-88","PAX8","paired box 8","A0A024R4X3"
"18315-38","RTP4","receptor transporter protein 4","Q96DX8"
"18316-75","SEPTIN3","septin 3","A0A2R8Y4H2"
"18317-111","ZFAND5","zinc finger AN1-type containing 5","A8K484"
"18318-98","SH3GL3","SH3 domain containing GRB2 like 3, endophilin A3","Q99963"
"18319-7","PDHX","pyruvate dehydrogenase complex component X","A0A8C8MSB2"
"18321-38","MTHFD2","methylenetetrahydrofolate dehydrogenase (NADP+ dependent) 2, methenyltetrahydrofolate cyclohydrolase","A0A7I2V482"
"18322-15","JMJD6","jumonji domain containing 6, arginine demethylase and lysine hydroxylase","A0A0S2PZM4"
"18323-39","CRMP1","collapsin response mediator protein 1","X5DNI1"
"18324-61","SUOX","sulfite oxidase","B2R6Y2"
"18326-50","MAGEA8","MAGE family member A8","B2R9W4"
"18327-6","SNX5","sorting nexin 5","Q6P5V6"
"18328-36","PYCR2","pyrroline-5-carboxylate reductase 2","A0A087WTV6"
"18329-4","PRPS2","phosphoribosyl pyrophosphate synthetase 2","A0A140VK41"
"18330-7","PGM2","phosphoglucomutase 2","B4E0G8"
"18331-3","GBA1","glucosylceramidase beta 1","A0A068F658"
"18332-17","CPLX1","complexin 1","A6NI80"
"18336-31","CDA","cytidine deaminase","P32320"
"18337-4","GMDS","GDP-mannose 4,6-dehydratase","B2R9X3"
"18338-26","IDH1","isocitrate dehydrogenase (NADP(+)) 1","A0A024R3Y6"
"18339-207","PSMB3","proteasome 20S subunit beta 3","A0A384NL22"
"18340-2","PSMB4","proteasome 20S subunit beta 4","A0A140VK46"
"18342-2","PSAT1","phosphoserine aminotransferase 1","B4DHQ3"
"18343-10","DECR2","2,4-dienoyl-CoA reductase 2","Q4VXZ8"
"18347-15","LAMC1","laminin subunit gamma 1","P11047"
"18348-89","HNRNPD","heterogeneous nuclear ribonucleoprotein D","B4DTC3"
"18373-13","RDX","radixin","A0A2R8Y5S7"
"18375-28","IL36RN","interleukin 36 receptor antagonist","A8K2I4"
"18376-19","MYL3","myosin light chain 3","A0AAQ5BH63"
"18380-78","ALB","albumin","A8K9P0"
"18381-16","ALDH2","aldehyde dehydrogenase 2 family member","A0A384NPN7"
"18382-109","COMT","catechol-O-methyltransferase","A0A140VJG8"
"18383-9","FKBP3","FKBP prolyl isomerase 3","B2R4Q9"
"18385-4","PSMD10","proteasome 26S subunit, non-ATPase 10","O75832"
"18386-36","GLRX","glutaredoxin","B2R4L2"
"18387-7","ST13","ST13 Hsp70 interacting protein","B4E0U6"
"18389-11","IFNA1","interferon alpha 1","D4Q9M8"
"18392-19","MAT2B","methionine adenosyltransferase 2 non-catalytic beta subunit","A0A140VJP2"
"18395-5","ADPRH","ADP-ribosylarginine hydrolase","A8K6X2"
"18396-10","TLE5","TLE family member 5, transcriptional modulator","B2RBL0"
"18397-5","AKR1C4","aldo-keto reductase family 1 member C4","P17516"
"18398-1","AKR1D1","aldo-keto reductase family 1 member D1","P51857"
"18399-1","AKAP7","A-kinase anchoring protein 7","A0A804HI88"
"18400-52","ALKBH2","alkB homolog 2, alpha-ketoglutarate dependent dioxygenase","A4PET2"
"18401-18","ALKBH3","alkB homolog 3, alpha-ketoglutarate dependent dioxygenase","A6NDJ1"
"18402-1","AMMECR1L","AMMECR1 like","B4E276"
"18403-25","AMPD2","adenosine monophosphate deaminase 2","H0YF16"
"18404-22","ANKRD54","ankyrin repeat domain 54","B5MCX7"
"18405-117","AP1S2","adaptor related protein complex 1 subunit sigma 2","A0A5F9ZHW1"
"18407-36","ARL2BP","ARF like GTPase 2 binding protein","B3KQJ5"
"18408-26","ARF4","ARF GTPase 4","B2R7J7"
"18409-61","ARF5","ARF GTPase 5","A4D0Z3"
"18410-26","ARL14","ARF like GTPase 14","Q8N4G2"
"18411-83","ARL15","ARF like GTPase 15","A8K4C1"
"18413-24","ARL4D","ARF like GTPase 4D","B2RC59"
"18414-26","ARL5A","ARF like GTPase 5A","B4DQS7"
"18415-16","ARL6","ARF like GTPase 6","A8KA93"
"18416-3","ARL9","ARF like GTPase 9","A0A1W2PS79"
"18417-3","AS3MT","arsenite methyltransferase","A6NP79"
"18419-20","ARPC5","actin related protein 2/3 complex subunit 5","B1ALC0"
"18422-41","MVD","mevalonate diphosphate decarboxylase","P53602"
"18429-10","CDH1","cadherin 1","A0A0E3XJU3"
"18432-32","RALB","RAS like proto-oncogene B","B4E040"
"18434-141","TBPL1","TATA-box binding protein like 1","A8K8F5"
"18435-40","UBXN2B","UBX domain protein 2B","B3KWZ3"
"18449-33","PPIG","peptidylprolyl isomerase G","A0A7I2V5Q5"
"18458-4","PTGES2","prostaglandin E synthase 2","A0A024R8C3"
"18483-36","RABIF","RAB interacting factor","B2R4P4"
"18813-15","DDX19A","DEAD-box helicase 19A","B4DS24"
"18814-21","INHBA","inhibin subunit beta A","A4D1W7"
"18817-50","CBX1","chromobox 1","J3KS05"
"18819-21","PPIC","peptidylprolyl isomerase C","A4LBB5"
"18821-9","C4B","complement C4B (Chido/Rodgers blood group)","A0A0G2JPR0"
"18823-52","H2BC26","H2B clustered histone 26","A4FU05"
"18824-7","EIF4A2","eukaryotic translation initiation factor 4A2","A8K088"
"18829-4","EIF4A1","eukaryotic translation initiation factor 4A1","J3KT12"
"18830-1","ITLN1","intelectin 1","Q5IWS4"
"18831-6","LRIG1","leucine rich repeats and immunoglobulin like domains 1","Q5XWD3"
"18832-65","SAA2","serum amyloid A2","A0A3B3ISW8"
"18833-76","PEA15","proliferation and apoptosis adaptor protein 15","Q6FHL9"
"18837-9","SGTB","small glutamine rich tetratricopeptide repeat co-chaperone beta","Q96EQ0"
"18839-24","TG","thyroglobulin","B2RU26"
"18840-205","SH2D1B","SH2 domain containing 1B","B2RBN6"
"18841-1","SERPINB13","serpin family B member 13","A0A0A0MQW3"
"18842-24","UBE2D2","ubiquitin conjugating enzyme E2 D2","A0A087WY85"
"18859-7","EIF4EBP3","eukaryotic translation initiation factor 4E binding protein 3","O60516"
"18860-2","CAMKK1","calcium/calmodulin dependent protein kinase kinase 1","Q8N5S9"
"18863-176","CHST2","carbohydrate sulfotransferase 2","B3KN17"
"18864-7","PRSS3","serine protease 3","A0A7P0MNE9"
"18866-8","PPP3R2","protein phosphatase 3 regulatory subunit B, beta","Q5VTR4"
"18868-7","CBX3","chromobox 3","A0A024RA30"
"18870-1","CD3E","CD3 epsilon subunit of T-cell receptor complex","A8K997"
"18871-24","AIF1L","allograft inflammatory factor 1 like","Q9BQI0"
"18873-8","CEACAM8","CEA cell adhesion molecule 8","O60399"
"18874-66","CEBPA","CCAAT enhancer binding protein alpha","P49715"
"18875-125","COL2A1","collagen type II alpha 1 chain","A6NGA0"
"18876-77","CHST4","carbohydrate sulfotransferase 4","Q8IV46"
"18877-15","CNN2","calponin 2","B4DDF4"
"18878-15","GREM1","gremlin 1, DAN family BMP antagonist","B3KTR9"
"18880-81","COL3A1","collagen type III alpha 1 chain","D2JYH5"
"18881-7","ADGRE5","adhesion G protein-coupled receptor E5","B4DTS6"
"18882-7","CLSTN2","calsyntenin 2","B2RCW5"
"18883-4","DSTN","destrin, actin depolymerizing factor","B7Z9M9"
"18884-22","DNAJB4","DnaJ heat shock protein family (Hsp40) member B4","B2R824"
"18886-28","DSCAML1","DS cell adhesion molecule like 1","A0A384DVL8"
"18887-7","ENTPD2","ectonucleoside triphosphate diphosphohydrolase 2","Q9Y5L3"
"18888-37","FABP12","fatty acid binding protein 12","A6NFH5"
"18890-227","FGB","fibrinogen beta chain","B4E1D3"
"18891-98","GBP2","guanylate binding protein 2","P32456"
"18892-48","GPC4","glypican 4","B2R6J7"
"18893-26","ADGRG1","adhesion G protein-coupled receptor G1","A0A0S2Z517"
"18894-1","GPX2","glutathione peroxidase 2","P18283"
"18895-54","GSTM4","glutathione S-transferase mu 4","A0A140VKE3"
"18896-23","HS6ST3","heparan sulfate 6-O-sulfotransferase 3","Q5W0L0"
"18897-31","HDAC2","histone deacetylase 2","B3KRS5"
"18898-36","HDGFL1","HDGF like 1","A0A140VJK8"
"18899-82","HDGFL3","HDGF like 3","Q9Y3E1"
"18900-37","HRAS","HRas proto-oncogene, GTPase","B5BUA0"
"18901-26","HSPA1B","heat shock protein family A (Hsp70) member 1B","A0A0G2JIW1"
"18904-23","CAMK4","calcium/calmodulin dependent protein kinase IV","B2R747"
"18905-5","KRT16","keratin 16","A8K488"
"18907-97","KIR3DL1","killer cell immunoglobulin like receptor, three Ig domains and long cytoplasmic tail 1","A0A0C4ZLQ8"
"18909-11","EXOSC8","exosome component 8","O43480"
"18910-45","LIN7A","lin-7 homolog A, crumbs cell polarity complex component","A4FTY3"
"18913-3","CCNH","cyclin H","D6RHI7"
"18914-188","PAFAH2","platelet activating factor acetylhydrolase 2","B2R9K4"
"18916-25","ITPA","inosine triphosphatase","A0A0S2Z423"
"18917-53","AMY2A","amylase alpha 2A","B9EJG1"
"18918-86","PDE4A","phosphodiesterase 4A","O75522"
"18921-30","PHEX","phosphate regulating endopeptidase X-linked","B4DNS0"
"18922-27","CD68","CD68 molecule","P34810"
"18925-24","PSMA5","proteasome 20S subunit alpha 5","P28066"
"18926-7","PSMA3","proteasome 20S subunit alpha 3","A0A140VK43"
"18927-14","RAET1G","retinoic acid early transcript 1G","Q6H3X2"
"18928-10","S100Z","S100 calcium binding protein Z","Q8WXG8"
"18930-28","SLIT2","slit guidance ligand 2","X6R3P0"
"18931-40","SLIT3","slit guidance ligand 3","O75094"
"18932-84","NMNAT1","nicotinamide nucleotide adenylyltransferase 1","B1AN63"
"18933-4","TGM4","transglutaminase 4","B2R7D1"
"18934-50","TGM2","transglutaminase 2","B4DTN7"
"18935-14","TLR5","toll like receptor 5","A0A2R8Y7Z4"
"18938-3","VLDLR","very low density lipoprotein receptor","Q5VVF5"
"18942-11","PSMB9","proteasome 20S subunit beta 9","A0A1U9X8D7"
"18943-4","PTGR2","prostaglandin reductase 2","Q3L8A4"
"18945-11","RGS1","regulator of G protein signaling 1","B2RDM9"
"18947-3","LRRC3B","leucine rich repeat containing 3B","Q5M8T0"
"18950-13","RAC2","Rac family small GTPase 2","B1AH80"
"19108-50","MECP2","methyl-CpG binding protein 2","A0A140VKC4"
"19109-32","TCEAL8","transcription elongation factor A like 8","Q8IYN2"
"19110-6","MEMO1","mediator of cell motility 1","A8K3Y8"
"19111-10","UBE2M","ubiquitin conjugating enzyme E2 M","A0A024R4T4"
"19112-2","TCEAL3","transcription elongation factor A like 3","D3DXA4"
"19113-66","SH3BGRL2","SH3 domain binding glutamate rich protein like 2","A8MQU2"
"19114-8","TK2","thymidine kinase 2","A4IF54"
"19115-13","CMBL","carboxymethylenebutenolidase homolog","B2RD36"
"19116-1","BLOC1S5","biogenesis of lysosomal organelles complex 1 subunit 5","Q8TDH9"
"19117-3","PPP1R14A","protein phosphatase 1 regulatory inhibitor subunit 14A","Q96A00"
"19118-47","OSTF1","osteoclast stimulating factor 1","A8K646"
"19119-10","DDIT3","DNA damage inducible transcript 3","P35638"
"19120-33","DAO","D-amino acid oxidase","A0A024RBI1"
"19121-3","UBQLN2","ubiquilin 2","B4DZF1"
"19122-47","MYL12B","myosin light chain 12B","D3DUH6"
"19123-6","NFKBID","NFKB inhibitor delta","A0AAQ5BIF9"
"19124-9","UBLCP1","ubiquitin like domain containing CTD phosphatase 1","D3DQJ7"
"19125-26","PRKAR2A","protein kinase cAMP-dependent type II regulatory subunit alpha","A0A024R2W3"
"19126-4","RPRD1B","regulation of nuclear pre-mRNA domain containing 1B","Q1WDE7"
"19127-1","HSPB6","heat shock protein family B (small) member 6","A0A384MEB1"
"19129-15","MTHFSD","methenyltetrahydrofolate synthetase domain containing","A8MQ77"
"19130-81","SERPINB8","serpin family B member 8","P50452"
"19131-184","TIAL1","TIA1 cytotoxic granule associated RNA binding protein like 1","A8K5C4"
"19132-1","MRPL2","mitochondrial ribosomal protein L2","C9IY40"
"19134-66","POLR2K","RNA polymerase II, I and III subunit K","E5RGX2"
"19135-5","NT5C3B","5'-nucleotidase, cytosolic IIIB","A8MWB9"
"19136-22","ALDH6A1","aldehyde dehydrogenase 6 family member A1","Q53H94"
"19139-3","HSF2BP","heat shock transcription factor 2 binding protein","B4DX36"
"19141-22","DAP","death associated protein","B4DQ75"
"19142-39","DNMT3L","DNA methyltransferase 3 like","Q9UJW3"
"19143-38","CYB5R2","cytochrome b5 reductase 2","A8K237"
"19144-9","TCF4","transcription factor 4","B3KVA4"
"19145-4","MREG","melanoregulin","C9JAG4"
"19147-6","LGALS13","galectin 13","C5HZ15"
"19148-58","TIMM8A","translocase of inner mitochondrial membrane 8A","A0A2R8YDA8"
"19150-20","PRPSAP2","phosphoribosyl pyrophosphate synthetase associated protein 2","B2R7R5"
"19152-4","PPP1R2","protein phosphatase 1 regulatory inhibitor subunit 2","E7EMN6"
"19153-53","MPPED2","metallophosphoesterase domain containing 2","Q15777"
"19154-41","SERPINE2","serpin family E member 2","B4DMR3"
"19158-1","PCLAF","PCNA clamp associated factor","Q15004"
"19159-9","POLD4","DNA polymerase delta 4, accessory subunit","Q9HCU8"
"19161-1","USP15","ubiquitin specific peptidase 15","Q08AL5"
"19163-26","LRRC59","leucine rich repeat containing 59","B2RE83"
"19166-15","RPS19","ribosomal protein S19","B0ZBD0"
"19168-71","PSTPIP1","proline-serine-threonine phosphatase interacting protein 1","O43586"
"19169-88","FIBP","FGF1 intracellular binding protein","Q53F51"
"19170-25","POLE3","DNA polymerase epsilon 3, accessory subunit","Q5W0U1"
"19173-5","ZFAND1","zinc finger AN1-type containing 1","Q8TCF1"
"19174-141","GOLGA7","golgin A7","A0A8Q3WLM5"
"19175-18","MARCKSL1","MARCKS like 1","D3DPQ0"
"19176-27","CYRIB","CYFIP related Rac1 interactor B","Q68D08"
"19177-7","MOB1B","MOB kinase activator 1B","Q7L9L4"
"19180-38","GULP1","GULP PTB domain containing engulfment adaptor 1","B3KN52"
"19183-164","RPL12","ribosomal protein L12","P30050"
"19187-21","STAMBP","STAM binding protein","A0A140VK54"
"19188-21","NAP1L4","nucleosome assembly protein 1 like 4","A0A994J3W0"
"19189-2","USP14","ubiquitin specific peptidase 14","A6NJA2"
"19190-4","UBE2L6","ubiquitin conjugating enzyme E2 L6","A6NDM6"
"19193-18","VBP1","VHL binding protein 1","B4DWR3"
"19194-9","DTD1","D-aminoacyl-tRNA deacylase 1","A0A2R8Y6X2"
"19195-85","RPS5","ribosomal protein S5","B2R4T2"
"19196-73","HOPX","HOP homeobox","A8K0Z2"
"19197-95","ACAT1","acetyl-CoA acetyltransferase 1","A0A140VJX1"
"19199-3","POLR2J","RNA polymerase II subunit J","E2QRJ6"
"19200-16","NDUFA5","NADH:ubiquinone oxidoreductase subunit A5","A0A087X1G1"
"19202-10","BTK","Bruton tyrosine kinase","A0A8Q3SI35"
"19206-20","NUDT1","nudix hydrolase 1","A4D205"
"19207-119","ADK","adenosine kinase","A0A140VJE0"
"19208-8","ACVR2A","activin A receptor type 2A","B2RAB8"
"19209-6","NFKBIA","NFKB inhibitor alpha","A0A8V8TLC3"
"19212-4","DMBT1","deleted in malignant brain tumors 1","A0A590UJ76"
"19213-1","SPINK4","serine peptidase inhibitor Kazal type 4","O60575"
"19215-7","NDRG1","N-myc downstream regulated 1","B3KR80"
"19219-71","NUTF2","nuclear transport factor 2","B2R4G7"
"19222-124","RAB5B","RAB5B, member RAS oncogene family","A8K982"
"19223-6","RAB1A","RAB1A, member RAS oncogene family","D6W5F3"
"19224-5","EIF1AY","eukaryotic translation initiation factor 1A Y-linked","A6NJH9"
"19225-11","BLNK","B cell linker","Q2MD52"
"19227-18","BATF","basic leucine zipper ATF-like transcription factor","Q16520"
"19228-11","BAG2","BAG cochaperone 2","B3KM36"
"19229-92","HOMER1","homer scaffold protein 1","Q86YM7"
"19230-12","GSTT1","glutathione S-transferase theta 1","O00226"
"19231-22","PTP4A3","protein tyrosine phosphatase 4A3","O75365"
"19233-75","ATOX1","antioxidant 1 copper chaperone","A8KAJ8"
"19236-24","SUB1","SUB1 regulator of transcription","P53999"
"19237-17","DDT","D-dopachrome tautomerase","B7Z522"
"19238-12","GLUL","glutamate-ammonia ligase","A0A024R956"
"19239-5","ARF1","ARF GTPase 1","B4DEB9"
"19240-265","PDAP1","PDGFA associated protein 1","D6W5S5"
"19241-31","RBP5","retinol binding protein 5","P82980"
"19242-21","PFDN1","prefoldin subunit 1","B2RD02"
"19243-2","PFDN2","prefoldin subunit 2","B1AQP2"
"19247-1","UBE2D1","ubiquitin conjugating enzyme E2 D1","A0A087WW00"
"19249-18","KARS1","lysyl-tRNA synthetase 1","Q15046"
"19250-50","MYCBP","MYC binding protein","B2R4N0"
"19251-56","SRGN","serglycin","B2R4L7"
"19252-67","PSMB2","proteasome 20S subunit beta 2","B7Z478"
"19253-82","RAB2B","RAB2B, member RAS oncogene family","B4DUD4"
"19254-125","GMPR","guanosine monophosphate reductase","P36959"
"19255-124","NXT2","nuclear transport factor 2 like export factor 2","D3DUY1"
"19257-11","CLTA","clathrin light chain A","P09496"
"19258-24","GCDH","glutaryl-CoA dehydrogenase","A0A1L3A5U7"
"19259-176","EIF2S1","eukaryotic translation initiation factor 2 subunit alpha","G3V4T5"
"19260-4","GIPC1","GIPC PDZ domain containing family member 1","A8K2I7"
"19261-12","SDCBP2","syndecan binding protein 2","O95892"
"19262-219","ACADVL","acyl-CoA dehydrogenase very long chain","B4DEB6"
"19263-147","EIF4E","eukaryotic translation initiation factor 4E","Q32Q75"
"19264-6","RPA2","replication protein A2","B4DUL2"
"19265-9","TCP1","t-complex 1","E7EQR6"
"19266-35","G3BP1","G3BP stress granule assembly factor 1","Q13283"
"19267-14","HAGH","hydroxyacylglutathione hydrolase","H3BPK3"
"19270-26","YARS1","tyrosyl-tRNA synthetase 1","A0A0S2Z4R1"
"19271-64","GNAI1","G protein subunit alpha i1","P63096"
"19272-9","PEF1","penta-EF-hand domain containing 1","A0A384MQX5"
"19273-3","GSR","glutathione-disulfide reductase","C8KIL8"
"19274-80","SNTA1","syntrophin alpha 1","A8K7H9"
"19275-68","IDH3G","isocitrate dehydrogenase (NAD(+)) 3 non-catalytic subunit gamma","E7EQB8"
"19276-124","SNRPG","small nuclear ribonucleoprotein polypeptide G","C9JVQ0"
"19277-4","TSTD1","thiosulfate sulfurtransferase like domain containing 1","Q8NFU3"
"19278-19","RAB1B","RAB1B, member RAS oncogene family","A8K7S1"
